2023/05/28,09:31:00,  Test No.:,        17
MAP,BASE,L-TOP,X,1   ,Y,1   
DATA:,3262-019(OS)-OGRT-220902-d
Result of AutoTest(All steps)

Start time:,05/28/2023,09:26:30
End time  :,05/28/2023,09:31:00

Test result:,PASS

TEST-Step,2850,PASS-Step,2850,FAIL-Step,0
CCD-Err,0,SKIP-Err,0




AST,STEP-No.  ,STEP-NAME   ,,MOD  ,JUDGE   ,,  MODE  ,,,,REF-VALUE  ,MEAS-VALUE ,HI-LIMIT   ,LO-LIMIT   ,,,,,,,,,NET_H ,NET_L ,NET_G1,NET_G2,,,,,,,,,,,,,,,,,,,,,,,PNT-H ,PNT-L ,,,,,,,,,,,,SMX,SMY,
AST,22        ,P72   S116  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2695  ,2695  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,72    ,116   ,,,,,,,,,,,,  0,  0,
AST,23        ,P67   S115  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 66.37   R,           ,           ,,,,,,,,,2696  ,2696  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,67    ,115   ,,,,,,,,,,,,  0,  0,
AST,24        ,P68   S114  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2697  ,2697  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,68    ,114   ,,,,,,,,,,,,  0,  0,
AST,25        ,P63   S113  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2699  ,2699  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,63    ,113   ,,,,,,,,,,,,  0,  0,
AST,26        ,P58   S112  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 67.57  kR,           ,           ,,,,,,,,,2701  ,2701  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,58    ,112   ,,,,,,,,,,,,  0,  0,
AST,27        ,P69   S118  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 47.41   R,           ,           ,,,,,,,,,2703  ,2703  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,69    ,118   ,,,,,,,,,,,,  0,  0,
AST,28        ,P71   S119  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2704  ,2704  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,71    ,119   ,,,,,,,,,,,,  0,  0,
AST,29        ,P70   S120  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2705  ,2705  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,70    ,120   ,,,,,,,,,,,,  0,  0,
AST,30        ,P64   S107  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2709  ,2709  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,64    ,107   ,,,,,,,,,,,,  0,  0,
AST,31        ,P66   S106  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2710  ,2710  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,66    ,106   ,,,,,,,,,,,,  0,  0,
AST,32        ,P65   S105  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2711  ,2711  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,65    ,105   ,,,,,,,,,,,,  0,  0,
AST,33        ,P20   S121  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2720  ,2720  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,20    ,121   ,,,,,,,,,,,,  0,  0,
AST,34        ,P19   S122  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2721  ,2721  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,19    ,122   ,,,,,,,,,,,,  0,  0,
AST,35        ,P59   S108  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2726  ,2726  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,59    ,108   ,,,,,,,,,,,,  0,  0,
AST,36        ,P60   S109  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2727  ,2727  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,60    ,109   ,,,,,,,,,,,,  0,  0,
AST,37        ,P62   S103  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2728  ,2728  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,62    ,103   ,,,,,,,,,,,,  0,  0,
AST,38        ,P61   S104  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 2.721  kR,           ,           ,,,,,,,,,2729  ,2729  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,61    ,104   ,,,,,,,,,,,,  0,  0,
AST,39        ,P55   S110  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2734  ,2734  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,55    ,110   ,,,,,,,,,,,,  0,  0,
AST,40        ,P54   S111  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2735  ,2735  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,54    ,111   ,,,,,,,,,,,,  0,  0,
AST,41        ,P56   S101  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2736  ,2736  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,56    ,101   ,,,,,,,,,,,,  0,  0,
AST,42        ,P57   S102  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 199.1   R,           ,           ,,,,,,,,,2737  ,2737  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,57    ,102   ,,,,,,,,,,,,  0,  0,
AST,43        ,P36   S145  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 275.0   R,           ,           ,,,,,,,,,2750  ,2750  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,36    ,145   ,,,,,,,,,,,,  0,  0,
AST,44        ,P37   S144  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2751  ,2751  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,37    ,144   ,,,,,,,,,,,,  0,  0,
AST,45        ,P53   S97   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 36.61  kR,           ,           ,,,,,,,,,2758  ,2758  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,53    ,97    ,,,,,,,,,,,,  0,  0,
AST,46        ,P52   S96   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2764  ,2764  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,52    ,96    ,,,,,,,,,,,,  0,  0,
AST,47        ,P49   S98   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 483.6   R,           ,           ,,,,,,,,,2800  ,2800  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,49    ,98    ,,,,,,,,,,,,  0,  0,
AST,48        ,P51   S100  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2801  ,2801  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,51    ,100   ,,,,,,,,,,,,  0,  0,
AST,49        ,P50   S99   ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 578.4   R,           ,           ,,,,,,,,,2804  ,2804  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,50    ,99    ,,,,,,,,,,,,  0,  0,
AST,50        ,P44   S146  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2818  ,2818  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,44    ,146   ,,,,,,,,,,,,  0,  0,
AST,51        ,P45   S147  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2826  ,2826  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,45    ,147   ,,,,,,,,,,,,  0,  0,
AST,52        ,P21   S123  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2871  ,2871  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,21    ,123   ,,,,,,,,,,,,  0,  0,
AST,53        ,P22   S125  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2873  ,2873  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,22    ,125   ,,,,,,,,,,,,  0,  0,
AST,54        ,P23   S124  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2874  ,2874  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,23    ,124   ,,,,,,,,,,,,  0,  0,
AST,55        ,P24   S138  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2877  ,2877  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,24    ,138   ,,,,,,,,,,,,  0,  0,
AST,56        ,P29   S137  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2878  ,2878  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,29    ,137   ,,,,,,,,,,,,  0,  0,
AST,57        ,P25   S139  ,,1    ,GOOD    ,, SHORT  ,,,, 10.00  MR, 0.000   R,           ,           ,,,,,,,,,2879  ,2879  ,      ,      ,,,,,,,,,,,,,,,,,,,,,,,25    ,139   ,,,,,,,,,,,,  0,  0,
